Category,Component,Qty,Supplier,Part Number,Req.,URL
PREASSEMBLED PCB,robotont-electronics-mainboard pcb assembly from jlcpcb,1,JLCPCB,,,https://jlcpcb.com
MANUALLY ASSEMBLED TO PCB,DC power connector 15A (male) MR30PW-M,2,TME,MR30PW-M,Y,https://www.tme.eu/en/details/mr30pw-m/dc-power-connectors/amass/
MANUALLY ASSEMBLED TO PCB,JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal,2,TME,S6B-PH-K-S,Y,https://www.tme.eu/ee/details/s6b-ph-k-s/
MANUALLY ASSEMBLED TO PCB,Molex_Micro-Fit_3.0_43045-0212_2x01_P3.00mm_Vertical,1,TME,MX-43045-0212,Y,https://www.tme.eu/ee/details/mx-43045-0212
MANUALLY ASSEMBLED TO PCB,Molex_Micro-Fit_3.0_43045-0612_2x03_P3.00mm_Vertical,2,TME,MX-43045-0612,Y,https://www.tme.eu/ee/details/mx-43045-0612
MANUALLY ASSEMBLED TO PCB,PinSocket_1x04_P2.54mm_Vertical_16mm,1,TME,DS1023-05-1X10B816,Y,https://www.tme.eu/en/details/ds1023-05-1x10b816/pin-headers/connfly/ds1023-05-1-10b8-a16-0-b6-8/
MANUALLY ASSEMBLED TO PCB,PinSocket_1x15_P2.54mm_Vertical,2,TME,ZL305-15,N,https://www.tme.eu/ee/details/zl305-15
MANUALLY ASSEMBLED TO PCB,PinSocket_2x08_P2.54mm_Vertical,1,TME,ZL262-16DG,N,https://www.tme.eu/ee/details/zl262-16dg
MANUALLY ASSEMBLED TO PCB,PinHeader_1x03_P2.54mm_Vertical,2,TME,ZL201-03G,N,https://www.tme.eu/ee/details/zl201-03g
MANUALLY ASSEMBLED TO PCB,PinHeader_1x04_P2.54mm_Horizontal,2,TME,DS1022-1X4RDF14,N,https://www.tme.eu/ee/en/details/ds1022-1x4rdf14
MANUALLY ASSEMBLED TO PCB,PinHeader_1x06_P2.54mm_Horizontal,3,TME,826947-6,Y,https://www.tme.eu/ee/en/details/826947-6
MANUALLY ASSEMBLED TO PCB,PinHeader_2x03_P2.54mm_Horizontal,1,TME,826634-3,Y,https://www.tme.eu/ee/details/826634-3
MANUALLY ASSEMBLED TO PCB,PinHeader_2x05_P2.54mm_Horizontal,1,TME,MX-90122-0765,Y,https://www.tme.eu/ee/details/mx-90122-0765
MANUALLY ASSEMBLED TO PCB,Socket MikroBUS 16 THT (or 2x 1x08 PinSocket P2.54),1,TME,MIKROE-4247,N,https://www.tme.eu/ee/en/details/mikroe-4247/development-kits-accessories/mikroe/socket-mikrobus-16-tht/
MANUALLY ASSEMBLED TO PCB,Rotary Encoder with Switch,1,TME,EC11E20-20P20C-SW,Y,https://www.tme.eu/ee/details/ec11e20-20p20c-sw
MANUALLY ASSEMBLED TO PCB,Push Button 6x6mm H20mm,1,AliExpress,,Y,https://www.aliexpress.com/item/32912263133.html
MANUALLY ASSEMBLED TO PCB,SSD1306 0.96 OLED module (pin order: GND VCC SCL SDA),1,AliExpress,,Y,https://www.aliexpress.com/item/1005001861762328.html
